BJD,RV,RV_ERR,INSTRUMENT,TARGET,ARCHIVE,SOURCE_FILE,SOURCE_NAME,SOURCE,RJD_ORIGINAL,DATE_NIGHT,REFERENCE
2446957.8884,-21.14,32.4898,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,46957.8884,,Rosenthal et al. (2021)
2446957.8884,-15.17,32.49,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,46957.8884,,Fischer et al. (2014)
2447048.7058,-16.44,23.34,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,47048.7058,,Fischer et al. (2014)
2448845.7537,-21.54,24.27,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,48845.7537,,Fischer et al. (2014)
2448845.7537,-27.5,24.2687,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,48845.7537,,Rosenthal et al. (2021)
2448906.638,6.1,20.1261,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.638,,Rosenthal et al. (2021)
2448906.638,12.06,20.13,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,48906.638,,Fischer et al. (2014)
2449114.9993,2.47,32.15,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.9993,,Fischer et al. (2014)
2449114.9993,-3.49,32.1542,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49114.9993,,Rosenthal et al. (2021)
2449172.767,-11.15,22.37,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.767,,Fischer et al. (2014)
2449172.767,-17.12,22.3675,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49172.767,,Rosenthal et al. (2021)
2449174.8394,-11.79,24.3487,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49174.8394,,Rosenthal et al. (2021)
2449174.8394,-5.83,24.35,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49174.8394,,Fischer et al. (2014)
2449200.7659,-36.23,26.51,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49200.7659,,Fischer et al. (2014)
2449200.7659,-42.19,26.5065,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49200.7659,,Rosenthal et al. (2021)
2449469.9887,-8.51,24.0743,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.9887,,Rosenthal et al. (2021)
2449469.9887,-2.55,24.07,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49469.9887,,Fischer et al. (2014)
2449622.676,-23.13,20.56,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49622.676,,Fischer et al. (2014)
2449622.676,-29.1,20.5571,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49622.676,,Rosenthal et al. (2021)
2449623.6432,-6.59,18.03,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49623.6432,,Fischer et al. (2014)
2449623.6432,-12.56,18.0321,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49623.6432,,Rosenthal et al. (2021)
2449881.9729,3.65,11.28,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49881.9729,,Fischer et al. (2014)
2449913.84473,4.51,5.24,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,49913.84473,,Fischer et al. (2014)
2450181.99219,9.85,5.06,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50181.99219,,Fischer et al. (2014)
2450300.75879,-12.89,4.52,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50300.75879,,Fischer et al. (2014)
2450304.71875,0.04,5.83,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50304.71875,,Fischer et al. (2014)
2450325.74121,3.24,5.04,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50325.74121,,Fischer et al. (2014)
2450602.00756,0.71,1.34,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.00756,,Butler et al. (2017)
2450602.00756,-0.2,1.7281,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.00756,,Rosenthal et al. (2021)
2450602.01576,-2.32,1.8212,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.01576,,Rosenthal et al. (2021)
2450602.01576,-2.49,1.44,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.01576,,Butler et al. (2017)
2450602.95211,2.69,1.26,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.95211,,Butler et al. (2017)
2450602.95211,0.17,1.6824,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.95211,,Rosenthal et al. (2021)
2450602.96056,-2.59,1.6097,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.96056,,Rosenthal et al. (2021)
2450602.96056,-0.8,1.23,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50602.96056,,Butler et al. (2017)
2450604.0017,-8.65,1.7751,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.0017,,Rosenthal et al. (2021)
2450604.0017,-2.12,1.5,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.0017,,Butler et al. (2017)
2450604.83609,-5.4,1.639,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.83609,,Rosenthal et al. (2021)
2450604.83609,-2.42,1.5,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50604.83609,,Butler et al. (2017)
2450605.10108,-4.98,1.53,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.10108,,Butler et al. (2017)
2450605.10108,-10.0,1.7913,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.10108,,Rosenthal et al. (2021)
2450605.85441,-9.52,1.7517,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.85441,,Rosenthal et al. (2021)
2450605.85441,-4.81,1.27,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50605.85441,,Butler et al. (2017)
2450606.08939,-2.79,1.47,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50606.08939,,Butler et al. (2017)
2450606.08939,-10.06,1.6964,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50606.08939,,Rosenthal et al. (2021)
2450606.89602,-2.58,1.43,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50606.89602,,Butler et al. (2017)
2450606.89602,-9.22,1.5971,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50606.89602,,Rosenthal et al. (2021)
2450607.0975,-7.75,1.44,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50607.0975,,Butler et al. (2017)
2450607.0975,-11.19,1.9194,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50607.0975,,Rosenthal et al. (2021)
2450607.86098,-6.02,1.56,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50607.86098,,Butler et al. (2017)
2450607.86098,-12.72,1.7791,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50607.86098,,Rosenthal et al. (2021)
2450609.02068,-6.9,1.8572,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50609.02068,,Rosenthal et al. (2021)
2450609.02068,-6.89,1.67,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50609.02068,,Butler et al. (2017)
2450610.11088,-2.95,1.78,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.11088,,Butler et al. (2017)
2450610.11088,-1.2,2.0408,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.11088,,Rosenthal et al. (2021)
2450610.11903,0.16,1.82,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.11903,,Butler et al. (2017)
2450610.11903,-1.3,2.0429,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.11903,,Rosenthal et al. (2021)
2450610.89062,0.0,5.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.89062,,Fischer et al. (2014)
2450610.90625,9.2,9.08,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.90625,,Fischer et al. (2014)
2450610.9209,-13.19,6.7,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50610.9209,,Fischer et al. (2014)
2450613.78711,13.65,6.84,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50613.78711,,Fischer et al. (2014)
2450613.83106,3.72,6.91,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50613.83106,,Fischer et al. (2014)
2450614.84082,0.29,4.38,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50614.84082,,Fischer et al. (2014)
2450614.86426,3.93,4.63,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50614.86426,,Fischer et al. (2014)
2450640.81152,2.06,4.89,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50640.81152,,Fischer et al. (2014)
2450640.83398,-8.73,5.13,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50640.83398,,Fischer et al. (2014)
2450645.80078,22.22,8.7644,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50645.80078,,Rosenthal et al. (2021)
2450645.80078,22.13,4.03,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50645.80078,,Fischer et al. (2014)
2450645.81738,21.49,12.04,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50645.81738,,Fischer et al. (2014)
2450655.78711,-3.59,4.34,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50655.78711,,Fischer et al. (2014)
2450655.78711,-9.78,8.6466,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50655.78711,,Rosenthal et al. (2021)
2450655.80957,-0.87,4.02,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50655.80957,,Fischer et al. (2014)
2450655.80957,-4.08,7.6499,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50655.80957,,Rosenthal et al. (2021)
2450656.78613,-21.75,8.7067,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.78613,,Rosenthal et al. (2021)
2450656.78613,-19.24,4.53,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.78613,,Fischer et al. (2014)
2450656.80859,-7.06,8.0639,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.80859,,Rosenthal et al. (2021)
2450656.80859,-5.15,4.21,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50656.80859,,Fischer et al. (2014)
2450665.8355,-7.3,1.8323,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50665.8355,,Rosenthal et al. (2021)
2450665.8355,-2.5,1.33,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50665.8355,,Butler et al. (2017)
2450681.70019,10.6,4.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50681.70019,,Fischer et al. (2014)
2450681.7002,5.7,9.8557,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50681.7002,,Rosenthal et al. (2021)
2450681.72266,-6.51,9.2779,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50681.72266,,Rosenthal et al. (2021)
2450681.72266,-5.19,4.7,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50681.72266,,Fischer et al. (2014)
2450954.99624,-7.05,1.6908,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50954.99624,,Rosenthal et al. (2021)
2450954.99624,1.08,2.05,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50954.99624,,Butler et al. (2017)
2450981.87418,-4.68,1.7876,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50981.87418,,Rosenthal et al. (2021)
2450981.87418,-0.54,1.51,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50981.87418,,Butler et al. (2017)
2450982.88569,-1.35,1.39,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50982.88569,,Butler et al. (2017)
2450982.88569,-3.46,1.6598,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50982.88569,,Rosenthal et al. (2021)
2450984.02388,-7.94,1.57,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50984.02388,,Butler et al. (2017)
2450984.02388,-6.64,1.7339,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,50984.02388,,Rosenthal et al. (2021)
2451009.86528,-1.57,1.48,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51009.86528,,Butler et al. (2017)
2451009.86528,-7.5,1.7845,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51009.86528,,Rosenthal et al. (2021)
2451011.84227,-0.71,1.7755,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51011.84227,,Rosenthal et al. (2021)
2451011.84227,-0.18,1.54,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51011.84227,,Butler et al. (2017)
2451012.82292,1.02,1.56,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51012.82292,,Butler et al. (2017)
2451012.82292,-1.25,1.9769,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51012.82292,,Rosenthal et al. (2021)
2451013.82429,-3.33,1.8226,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51013.82429,,Rosenthal et al. (2021)
2451013.82429,1.97,1.28,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51013.82429,,Butler et al. (2017)
2451026.77441,-11.73,7.52,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51026.77441,,Fischer et al. (2014)
2451050.80938,-1.47,1.778,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51050.80938,,Rosenthal et al. (2021)
2451050.80938,4.64,1.52,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51050.80938,,Butler et al. (2017)
2451051.82196,-1.43,1.9537,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51051.82196,,Rosenthal et al. (2021)
2451051.82196,-0.13,1.58,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51051.82196,,Butler et al. (2017)
2451068.79946,-6.01,1.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51068.79946,,Butler et al. (2017)
2451068.79946,-7.88,1.6903,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51068.79946,,Rosenthal et al. (2021)
2451069.81397,-2.93,1.31,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51069.81397,,Butler et al. (2017)
2451069.81397,-8.58,1.8119,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51069.81397,,Rosenthal et al. (2021)
2451070.82419,-8.7,1.7065,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51070.82419,,Rosenthal et al. (2021)
2451070.82419,-2.44,1.35,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51070.82419,,Butler et al. (2017)
2451070.83233,-9.55,1.6866,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51070.83233,,Rosenthal et al. (2021)
2451070.83233,-2.15,1.1,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51070.83233,,Butler et al. (2017)
2451071.79589,-6.39,1.6327,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51071.79589,,Rosenthal et al. (2021)
2451071.79589,-2.6,1.32,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51071.79589,,Butler et al. (2017)
2451071.80392,-8.68,1.6605,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51071.80392,,Rosenthal et al. (2021)
2451071.80392,-3.44,1.37,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51071.80392,,Butler et al. (2017)
2451072.78637,-2.44,1.27,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51072.78637,,Butler et al. (2017)
2451072.78637,-7.7,1.6905,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51072.78637,,Rosenthal et al. (2021)
2451072.7944,-1.42,1.31,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51072.7944,,Butler et al. (2017)
2451072.7944,-7.32,1.6978,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51072.7944,,Rosenthal et al. (2021)
2451073.78934,-8.19,1.8119,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.78934,,Rosenthal et al. (2021)
2451073.78934,-5.83,1.43,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.78934,,Butler et al. (2017)
2451073.79738,-5.92,1.45,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.79738,,Butler et al. (2017)
2451073.79738,-8.71,1.7115,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.79738,,Rosenthal et al. (2021)
2451073.87091,-1.71,1.9073,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.87091,,Rosenthal et al. (2021)
2451073.87091,1.49,1.55,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.87091,,Butler et al. (2017)
2451073.87837,-2.52,1.72,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.87837,,Butler et al. (2017)
2451073.87837,-7.01,1.9821,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51073.87837,,Rosenthal et al. (2021)
2451074.775,-2.1,1.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51074.775,,Butler et al. (2017)
2451074.775,-7.96,1.712,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51074.775,,Rosenthal et al. (2021)
2451228.15524,-3.93,1.53,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.15524,,Butler et al. (2017)
2451228.15524,-4.82,1.805,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51228.15524,,Rosenthal et al. (2021)
2451229.14388,-4.85,1.55,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51229.14388,,Butler et al. (2017)
2451229.14388,-5.44,2.0258,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51229.14388,,Rosenthal et al. (2021)
2451311.03688,-3.21,2.27,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51311.03688,,Butler et al. (2017)
2451311.03688,-9.89,1.6372,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51311.03688,,Rosenthal et al. (2021)
2451312.01389,-5.19,1.8395,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51312.01389,,Rosenthal et al. (2021)
2451312.01389,-4.55,2.58,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51312.01389,,Butler et al. (2017)
2451313.04021,-7.38,1.8112,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51313.04021,,Rosenthal et al. (2021)
2451313.04021,-6.25,2.23,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51313.04021,,Butler et al. (2017)
2451341.02147,0.09,1.7119,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.02147,,Rosenthal et al. (2021)
2451341.02147,-1.04,1.52,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.02147,,Butler et al. (2017)
2451341.90061,0.49,1.38,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.90061,,Butler et al. (2017)
2451341.90061,1.34,1.9109,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51341.90061,,Rosenthal et al. (2021)
2451364.76856,-3.63,9.07,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51364.76856,,Fischer et al. (2014)
2451367.84914,-3.66,1.9364,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51367.84914,,Rosenthal et al. (2021)
2451367.84914,1.11,1.76,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51367.84914,,Butler et al. (2017)
2451368.83909,1.52,1.8354,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51368.83909,,Rosenthal et al. (2021)
2451368.83909,7.61,1.54,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51368.83909,,Butler et al. (2017)
2451370.00729,-2.2,1.9753,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51370.00729,,Rosenthal et al. (2021)
2451370.00729,2.05,1.56,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51370.00729,,Butler et al. (2017)
2451370.90907,-6.82,1.7236,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51370.90907,,Rosenthal et al. (2021)
2451370.90907,0.01,1.41,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51370.90907,,Butler et al. (2017)
2451371.90501,-9.75,1.9305,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51371.90501,,Rosenthal et al. (2021)
2451371.90501,-4.24,1.65,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51371.90501,,Butler et al. (2017)
2451409.85442,0.57,1.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51409.85442,,Butler et al. (2017)
2451409.85442,-5.25,1.829,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51409.85442,,Rosenthal et al. (2021)
2451410.8342,-0.1,1.29,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51410.8342,,Butler et al. (2017)
2451410.8342,-5.02,1.7823,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51410.8342,,Rosenthal et al. (2021)
2451411.84208,1.71,1.6,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.84208,,Butler et al. (2017)
2451411.84208,0.56,1.7756,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51411.84208,,Rosenthal et al. (2021)
2451438.73354,-7.23,1.7654,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51438.73354,,Rosenthal et al. (2021)
2451438.73354,-2.29,1.37,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51438.73354,,Butler et al. (2017)
2451439.72656,-12.04,1.6881,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51439.72656,,Rosenthal et al. (2021)
2451680.06566,-3.88,1.8347,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51680.06566,,Rosenthal et al. (2021)
2451680.06566,-3.21,2.35,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51680.06566,,Butler et al. (2017)
2451702.98234,-3.33,1.67,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51702.98234,,Butler et al. (2017)
2451702.98234,-7.12,1.9044,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51702.98234,,Rosenthal et al. (2021)
2451703.97018,-8.93,1.6957,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51703.97018,,Rosenthal et al. (2021)
2451703.97018,-2.78,1.58,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51703.97018,,Butler et al. (2017)
2451705.01536,-1.28,1.69,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51705.01536,,Butler et al. (2017)
2451705.01536,0.97,1.9258,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51705.01536,,Rosenthal et al. (2021)
2451705.94735,-2.97,1.7599,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51705.94735,,Rosenthal et al. (2021)
2451705.94735,-2.21,1.59,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,51705.94735,,Butler et al. (2017)
2452007.12157,-3.26,1.69,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.12157,,Butler et al. (2017)
2452007.12157,-3.16,2.1734,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52007.12157,,Rosenthal et al. (2021)
2452097.94112,-0.54,1.79,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.94112,,Butler et al. (2017)
2452097.94112,3.24,2.0516,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52097.94112,,Rosenthal et al. (2021)
2452133.76779,4.89,2.1108,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52133.76779,,Rosenthal et al. (2021)
2452133.76779,7.24,1.98,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52133.76779,,Butler et al. (2017)
2452445.92377,-5.38,1.81,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.92377,,Butler et al. (2017)
2452445.92377,-4.48,2.1227,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52445.92377,,Rosenthal et al. (2021)
2452537.79383,2.05,1.8966,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52537.79383,,Rosenthal et al. (2021)
2452537.79383,5.07,1.87,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52537.79383,,Butler et al. (2017)
2452777.11632,-3.85,2.3131,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52777.11632,,Rosenthal et al. (2021)
2452777.11632,-2.51,1.86,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52777.11632,,Butler et al. (2017)
2452831.84082,16.88,5.21,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52831.84082,,Fischer et al. (2014)
2452831.85352,19.14,5.93,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52831.85352,,Fischer et al. (2014)
2452834.85156,-6.66,2.7558,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52834.85156,,Rosenthal et al. (2021)
2452834.85156,-1.74,1.86,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,52834.85156,,Butler et al. (2017)
2453072.13873,-2.51,2.2389,DACE,Barnard's star,DACE_PUBLIC,,,DACE_public_get_timeseries,53072.13873,,Rosenthal et al. (2021)
